obligation_id|standard_id|standard_code|obligation_priority|topic|validation_intent|applicability_context|exclusion_conditions|protocol_impact|section_binding|evidence_types|technical_expression|plain_language_expression|inputs_required|outputs_generated|depth_modifiers|control_domains|trace_notes|status
OBL_ISO17665_STEAM_0011|STD_ISO17665|ISO 17665|110|load_configuration_definition|Ensure validated load configurations are defined and controlled.|terminal_sterilization=true;sterilization_modality=steam||PQ|PQ.LoadConfigurationControl|procedure;record|Define validated load configurations, including orientation, spacing, packaging arrangement, and max/min limits.|Specify exactly how loads must be built.|load_diagrams;max_min_limits;packaging_rules|validated_load_configuration_set;load_build_instructions|load_complexity;product_risk|CD_RISK_MANAGEMENT:primary|Prevents “creative loading.”|draft
OBL_ISO17665_STEAM_0012|STD_ISO17665|ISO 17665|120|pq_performance_runs|Ensure PQ demonstrates consistent performance under routine conditions.|terminal_sterilization=true;sterilization_modality=steam||PQ|PQ.PerformanceRuns|test_data;record|Execute PQ runs using routine operators, routine materials, and defined load configurations.|Prove it works in real production.|pq_run_count;operators;material_lots;load_configs|PQ_run_plan;PQ_run_summaries|product_risk;operator_variability|CD_RISK_MANAGEMENT:primary|PQ should scale with risk.|draft
OBL_ISO17665_STEAM_0013|STD_ISO17665|ISO 17665|130|worst_case_monitoring_locations|Ensure worst-case monitoring locations are identified.|terminal_sterilization=true;sterilization_modality=steam||PQ|PQ.WorstCaseMonitoring|procedure;test_data;record|Identify worst-case locations and place monitoring devices accordingly.|Put sensors/indicators where sterilization is hardest.|worst_case_rationale;placement_rules|monitoring_placement_plan;coverage_summary|load_complexity;packaging_type|CD_RISK_MANAGEMENT:primary|Makes worst-case explicit.|draft
OBL_ISO17665_STEAM_0014|STD_ISO17665|ISO 17665|140|acceptance_criteria_definition|Ensure acceptance criteria are defined for qualification and routine monitoring.|sterilization_modality=steam||OQ;PQ|OQ.AcceptanceCriteria;PQ.AcceptanceCriteria|procedure;record|Define measurable acceptance criteria for cycle parameters, monitoring results, and deviations.|Set clear pass/fail rules.|parameter_limits;monitoring_methods;deviation_rules|acceptance_criteria_table;deviation_decision_tree|product_risk;release_method|CD_RISK_MANAGEMENT:primary|Backbone of release decisions.|draft
OBL_ISO17665_STEAM_0015|STD_ISO17665|ISO 17665|150|routine_monitoring_strategy|Ensure routine monitoring strategy is defined.|terminal_sterilization=true;sterilization_modality=steam||PQ|PQ.RoutineMonitoring|procedure;record|Define routine monitoring methods, frequencies, and review requirements.|Decide what you’ll check every run.|monitoring_frequency;review_roles;data_sources|routine_monitoring_plan;review_checklist|release_method;product_risk|CD_DATA_INTEGRITY:supporting|Connects validation to daily control.|draft
OBL_ISO17665_STEAM_0016|STD_ISO17665|ISO 17665|160|parametric_release_controls|Ensure parametric release is supported by defined controls and evidence.|release_method_contains=parametric;sterilization_modality=steam||PQ|PQ.ParametricRelease|procedure;record;test_data|Define conditions and evidence required for parametric release.|If you release by cycle data, define exactly what must be true.|parametric_criteria;review_steps;exception_rules|parametric_release_record_template;exception_workflow|product_risk;automation_level|CD_DATA_INTEGRITY:primary|High scrutiny area.|draft
OBL_ISO17665_STEAM_0017|STD_ISO17665|ISO 17665|170|nonconformance_and_deviation_handling|Ensure deviations trigger documented evaluation and disposition.|terminal_sterilization=true;sterilization_modality=steam||PQ|PQ.DeviationHandling|procedure;record|Define how deviations, alarms, and excursions are investigated and dispositioned.|Define what you do when something goes wrong.|deviation_categories;impact_assessment_rules;disposition_roles|deviation_log_template;impact_assessment_form|product_risk;release_method|CD_CHANGE_CONTROL:supporting;CD_RISK_MANAGEMENT:supporting|Major audit focus.|draft
OBL_ISO17665_STEAM_0018|STD_ISO17665|ISO 17665|180|maintenance_and_requalification_linkage|Ensure maintenance and calibration link to requalification needs.|sterilization_modality=steam||IQ;PQ|IQ.MaintenanceProgram;PQ.RequalificationTriggers|procedure;record|Define maintenance and calibration requirements and triggers for requalification.|Tie maintenance to when you must re-check performance.|maintenance_schedule;calibration_schedule;trigger_rules|maintenance_program_block;requalification_trigger_matrix|equipment_age;product_risk|CD_MAINTENANCE_CALIBRATION:primary|Prevents gaps after servicing.|draft
OBL_ISO17665_STEAM_0019|STD_ISO17665|ISO 17665|190|change_control_revalidation|Ensure changes are assessed for impact and revalidation is triggered.|terminal_sterilization=true;sterilization_modality=steam||PQ|PQ.ChangeControl|procedure;record|Define change categories and criteria for requalification or revalidation.|Decide what changes force revalidation.|change_categories;impact_rules;approval_roles|change_control_matrix;revalidation_decision_tree|software_control;load_complexity;product_risk|CD_CHANGE_CONTROL:primary|Major lifecycle control.|draft
OBL_ISO17665_STEAM_0020|STD_ISO17665|ISO 17665|200|periodic_requalification_program|Ensure periodic requalification frequency and scope are defined.|terminal_sterilization=true;sterilization_modality=steam||PQ|PQ.PeriodicRequalification|procedure;record|Define periodic requalification frequency, scope, and acceptance criteria.|Set a schedule for re-checking performance.|requalification_frequency;scope_definition;acceptance_criteria|requalification_plan;requalification_report_template|equipment_age;product_risk;utilization_rate|CD_MAINTENANCE_CALIBRATION:supporting;CD_RISK_MANAGEMENT:primary|Supports long-term control.|draft

