standard_id,title,short_citation,region,applies_to,notes
ISO_11607-1,Packaging for terminally sterilized medical devices — Part 1: Requirements for materials and sterile barrier systems,ISO 11607-1:2019,Global,Packaging;Sterile Barrier;Pouches;Trays,Material selection and design for maintaining device sterility.
ISO_11607-2,Packaging for terminally sterilized medical devices — Part 2: Validation requirements for forming and sealing,ISO 11607-2:2019,Global,Packaging;Heat Sealers;F/F/S Machines;Assembly,Crucial for OQ/PQ of sealing equipment like pouch and tray sealers.
ISO_10993-1,Biological evaluation of medical devices — Part 1: Evaluation and testing within a risk management process,ISO 10993-1:2018,Global,All;Biocompatibility;Design;HCT/Ps,Framework for biological safety assessments based on patient contact.
ISO_10993-4,Biological evaluation of medical devices — Part 4: Selection of tests for interactions with blood,ISO 10993-4:2017,Global,Biocompatibility;Cardiovascular;Catheters;Implants,Specifically for blood-contacting interventional cardiology devices.
ISO_10993-5,Biological evaluation of medical devices — Part 5: Tests for in vitro cytotoxicity,ISO 10993-5:2009,Global,Biocompatibility;All;Laboratory;Implantable,Essential screening test for all patient-contact devices.
ISO_10993-7,Biological evaluation of medical devices — Part 7: Ethylene oxide sterilization residuals,ISO 10993-7:2008,Global,Sterilization;EtO;Biocompatibility;Laboratory,Limits for EO and ECH levels on devices after gas sterilization.
ISO_11737-1,Sterilization of health care products — Microbiological methods — Part 1: Bioburden enumeration,ISO 11737-1:2018,Global,Sterilization;Bioburden Testing;Laboratory;Cleanrooms,Procedures for microbial counting to support sterilization cycles.
ISO_11737-2,Sterilization of health care products — Microbiological methods — Part 2: Tests of sterility,ISO 11737-2:2019,Global,Sterilization;Sterility Testing;Laboratory;Cleanrooms,Mandatory for validating sterility as an outcome of a process.
ISO_15883-1,"Washer-disinfectors — Part 1: General requirements, terms and definitions and tests",ISO 15883-1:2006,Global,Cleaning;Washer-Disinfectors;Reprocessing;Hospital,Foundations for automated thermal and chemical decontamination.
ISO_15883-2,Washer-disinfectors — Part 2: Requirements for washer-disinfectors (thermal disinfection),ISO 15883-2:2006,Global,Cleaning;Washer-Disinfectors;Surgical Instruments,Specific validation requirements for thermal reprocessing systems.
ISO_15883-5,Washer-disinfectors — Part 5: Performance requirements and test method for demonstrating cleaning efficacy,ISO 15883-5:2021,Global,Cleaning;Washer-Disinfectors;Reprocessing,"Defines standardized ""test soils"" used to validate cleaning efficacy."
ISO_17664-1,Processing of health care products — Part 1: Critical and semi-critical medical devices,ISO 17664-1:2021,Global,Cleaning;Surgical Instruments;Endoscopes;Reprocessing,Requirements for IFUs for high-risk reusable devices.
ISO_17664-2,Processing of health care products — Part 2: Non-critical medical devices,ISO 17664-2:2021,Global,Cleaning;BP Cuffs;Stethoscopes;Reprocessing,Processing requirements for devices contacting only intact skin.
AAMI_ST98,Cleaning of reusable medical devices — Part 1: General requirements,AAMI ST98:2022,US,Cleaning;Washer-Disinfectors;Ultrasonic Cleaners,Comprehensive US standard for cleaning validation methodology.
ISO_22442-1,Medical devices utilizing animal tissues — Part 1: Application of risk management,ISO 22442-1:2020,Global,HCT/Ps;Biological Implants;Design;Material Sourcing,Manages risks associated with animal-derived tissue components.
ISO_15194,In vitro diagnostic medical devices — Requirements for certified reference materials,ISO 15194:2009,Global,IVD Production;Laboratory;Reagents,Standard for ensuring the accuracy of biological calibrators.
ASTM_F88,Standard Test Method for Seal Strength of Flexible Barrier Materials,ASTM F88:2023,US,Packaging;Heat Sealers;Metrology;Laboratory,Primary test method for validating sterile barrier seal strength.
ASTM_F1929,Detecting Seal Leaks in Porous Medical Packaging by Dye Penetration,ASTM F1929:15,US,Packaging;Heat Sealers;Inspection;Laboratory,Validation test for sterile integrity of porous packaging.
ISO_14708-1,"Implants for surgery — Active implantable medical devices — Part 1: General requirements for safety, marking and for information to be provided",ISO 14708-1:2014,Global,Active Implants;Design;Production,Foundational safety requirements for all active implantable systems.
ISO_14708-2,Implants for surgery — Active implantable medical devices — Part 2: Cardiac pacemakers,ISO 14708-2:2019,Global,Cardiac Pacemakers;Active Leads;Metrology,Specific requirements for implantable pulse generators and pacing leads.
ISO_14708-5,Implants for surgery — Active implantable medical devices — Part 5: Circulatory support devices,ISO 14708-5:2020,Global,VADs;Artificial Hearts;ECMO,Particular requirements for long-term blood pumps and assist systems.
ISO_27186,Active implantable medical devices — Four-pole connector system — Dimensional and test requirements,ISO 27186:2020,Global,Cardiac Leads;Pacemakers;Defibrillators,Standard for the IS-4 and DF-4 high-density pacer/defib lead connectors.
ISO_14117,Active implantable medical devices — Electromagnetic compatibility — EMC test protocols,ISO 14117:2019,Global,Active Implants;Lab;Product Testing,Protocols for qualifying pacer/defib immunity to EMI and magnetic fields.
IEC_60601-1,Medical electrical equipment – Part 1: General requirements for basic safety and essential performance,IEC 60601-1:2005+A2:2020,Global,All Active Devices;Safety Testing,Fundamental standard for electrical safety and therapeutic efficacy.
IEC_60601-1-2,Electromagnetic disturbances — Requirements and tests,IEC 60601-1-2:2014+A1:2020,Global,All Active Devices;Lab;Product Testing,Collateral standard for EMC emissions and immunity in medical environments.
IEC_60601-2-2,Particular requirements for basic safety and essential performance of high frequency surgical equipment,IEC 60601-2-2:2017,Global,Electrosurgical Units;Therapeutic;Assembly,Critical for validating cautery/RF generators used in surgery.
IEC_60601-2-4,Particular requirements for basic safety and essential performance of cardiac defibrillators,IEC 60601-2-4:2010/A1:2018,Global,Defibrillators;AEDs;Product Testing,Particular safety requirements for high-voltage energy delivery.
IEC_60601-2-16,Particular requirements for basic safety and essential performance of haemodialysis equipment,IEC 60601-2-16:2018,Global,Dialysis Machines;Therapeutic;Utilities,Safety requirements for extracorporeal blood circuits and fluid paths.
IEC_60601-2-31,Particular requirements for basic safety and essential performance of external cardiac pacemakers,IEC 60601-2-31:2020,Global,External Pacemakers;Therapeutic;Assembly,Governs temporary pacing systems with internal power sources.
IEC_60601-2-34,Particular requirements for basic safety and essential performance of invasive blood pressure monitors,IEC 60601-2-34:2024,Global,Hemodynamic Monitors;Diagnostic;Metrology,Safety standards for pressure transducers and bedside monitors.
IEC_80601-2-77,Particular requirements for basic safety and essential performance of robotically assisted surgical equipment,IEC 80601-2-77:2019,Global,Surgical Robots;Active Implants;Software,Specifically for RASE (Robotic Assisted Surgical Equipment).
ISO_80601-2-12,Particular requirements for basic safety and essential performance of critical care ventilators,ISO 80601-2-12:2020,Global,Ventilators;Anesthesia Machines;Respiratory,Safety requirements for life-sustaining pulmonary support.
ISO_80601-2-61,Particular requirements for basic safety and essential performance of pulse oximeter equipment,ISO 80601-2-61:2017,Global,Pulse Oximeters;Patient Monitoring;Metrology,Specific accuracy requirements for SpO2 sensors and modules.
ISO_17025,General requirements for the competence of testing and calibration laboratories,ISO/IEC 17025:2017,Global,Metrology;Calibration;QC Labs,Mandatory for labs providing certified calibration for production tools.
ISO_81060-1,Non-invasive sphygmomanometers — Part 1: Requirements for non-automated measurement type,ISO 81060-1:2007,Global,BP Cuffs;Metrology;Manual Gauges,Standards for manual mercury or aneroid blood pressure gauges.
ISO_81060-2,Non-invasive sphygmomanometers — Part 2: Clinical investigation of automated measurement type,ISO 81060-2:2018,Global,BP Monitors;Metrology;Validation,Validation of the algorithm accuracy for digital BP cuffs.
IEC_61010-1,"Safety requirements for electrical equipment for measurement, control, and laboratory use",IEC 61010-1:2010+A1:2016,Global,Lab Equipment;Centrifuges;Incubators,General safety standard for instruments not in direct patient contact.
ISO_13482,Robots and robotic devices — Safety requirements for personal care robots,ISO 13482:2014,Global,Rehabilitation Robots;Assistive Devices,Safety framework for robots interacting physically with humans.
ISO_19223,Lung ventilators and related equipment — Vocabulary and semantics,ISO 19223:2019,Global,Ventilators;Anesthesia;Respiratory,Establishes standardized terminology for respiratory support devices.
ISO_23747,Anaesthetic and respiratory equipment — Peak expiratory flow meters for the assessment of pulmonary function,ISO 23747:2015,Global,Respiratory;Peak Flow Meters;Diagnostic,Requirements for assessing pulmonary function in spontaneously breathing humans.
ISO_28620,Medical devices — Non-electrically driven portable infusion devices,ISO 28620:2010,Global,Infusion;Elastomeric Pumps;Drug Delivery,Safety and performance for mechanical/elastomeric infusion systems.
ISO_20916,In vitro diagnostic medical devices — Clinical performance studies using specimens from human subjects — Good study practice,ISO 20916:2019,Global,IVD Production;Reagents;HCT/Ps,"The ""GCP"" equivalent for clinical validation of diagnostic assays."
ISO_14155,Clinical investigation of medical devices for human subjects — Good clinical practice,ISO 14155:2020,Global,All;Design;PMA/510k Validation,Mandatory framework for conducting clinical trials to support FDA/CE submissions.
ISO_22610,"Surgical drapes, gowns and clean air suits — Test method to determine the resistance to wet bacterial penetration",ISO 22610:2006,Global,PPE;Surgical Drapes;Cleanroom Laundry,Standard for validating the barrier effectiveness of protective medical textiles.
ISO_23640,In vitro diagnostic medical devices — Evaluation of stability of in vitro diagnostic reagents,ISO 23640:2011,Global,IVD Production;Reagents;Storage,Critical for OQ/PQ of stability chambers and establishing shelf-life.
IPC_A_610,Acceptability of Electronic Assemblies,IPC-A-610H,Global,Electronics;Active Implants;PCBA,Class 3 is the mandatory quality level for life-support medical electronics. 
J_STD_001,Requirements for Soldered Electrical and Electronic Assemblies,J-STD-001H,Global,Electronics;Soldering;Active Implants,"Governs the ""special process"" validation of SMT and wave soldering. "
IPC_6012,Qualification and Performance Specification for Rigid Printed Boards,IPC-6012F,Global,Electronics;PCBs;Active Leads,Defines manufacturing performance for high-reliability medical circuit boards. 
ISO_11070,"Sterile single-use intravascular introducers, dilators and guidewires",ISO 11070:2014,Global,Catheters;Guidewires;Introducers,Requirements for vascular access devices; critical for coiling/grinding PQ.
ASTM_F1717,Standard Test Methods for Spinal Implant Constructs in a Vertebrectomy Model,ASTM F1717-21,US,Orthopedics;Spinal Implants;Fatigue Rigs,Primary protocol for qualifying the mechanical durability of spinal rods/screws.
ASTM_F543,Standard Specification and Test Methods for Metallic Medical Bone Screws,ASTM F543-23,US,Orthopedics;Bone Screws;Torsion Testers,Governs the validation of torsional yield and driving torque for bone screws.
USP_1231,Water for Pharmaceutical Purposes,USP <1231>,US,Utilities;WFI Systems;RO/DI Skids,Comprehensive guide for maintaining and validating WFI/Purified water systems. 
ASTM_D1193,Standard Specification for Reagent Water,ASTM D1193-06,US,Utilities;Laboratory;IVD Production,Categorizes high-purity water grades used in clinical diagnostic assays. 
ISO_14644-3,Cleanrooms and associated controlled environments — Part 3: Test methods,ISO 14644-3:2019,Global,Facilities;HVAC;Metrology,"Methodology for smoke studies, filter leaks, and airflow visualization. "
ISO_14644-4,"Cleanrooms and associated controlled environments — Part 4: Design, construction and start-up",ISO 14644-4:2022,Global,Facilities;Infrastructure;Modular Walls,Requirements for the IQ (Installation Qualification) of new cleanroom builds. 
ISO_14644-5,Cleanrooms and associated controlled environments — Part 5: Operations,ISO 14644-5:2004,Global,Facilities;Garments;Personnel,"Requirements for cleanroom laundry, gowning, and operational hygiene. "
ISO_15189,Medical laboratories — Requirements for quality and competence,ISO 15189:2022,Global,Lab;IVD;HCT/Ps;QC Labs,Quality management requirements specific to clinical/medical laboratories.
ISO_9626,Stainless steel needle tubing for the manufacture of medical devices,ISO 9626:2016,Global,Needles;Cannula Grinders;Forming,Establishes requirements for the tubing used in high-precision needle manufacturing.
CLSI_EP05,Evaluation of Precision of Quantitative Measurement Procedures,CLSI EP05-A3,US;Global,IVD Production;Laboratory;Analyzers,Foundational for establishing within-site precision for diagnostic assays.
CLSI_EP06,Evaluation of Linearity of Quantitative Measurement Procedures,CLSI EP06-Ed2,US;Global,IVD Production;Laboratory;Analyzers,Guidance for validating the analytical measuring interval (AMI).
CLSI_EP07,Interference Testing in Clinical Chemistry,CLSI EP07-Ed3,US;Global,IVD Production;Laboratory;Reagents,Evaluates the effect of substances like bilirubin or lipids on test results.
CLSI_EP17,Evaluation of Detection Capability for Clinical Laboratory Measurement Procedures,CLSI EP17-Ed2,US;Global,IVD Production;Laboratory;Reagents,"Standard for defining Limit of Blank (LoB), Detection (LoD), and Quantitation (LoQ)."
IEC_81001-5-1,Health software and health IT systems — Part 5-1: Security — Activities in the product life cycle,IEC 81001-5-1:2021,Global,Software;Active Implants;IT Systems,The first international standard specifically targeting health software cybersecurity.
IEC_82304-1,Health software — Part 1: General requirements for product safety,IEC 82304-1:2016,Global,Software;Mobile Apps;Cloud Systems,"Covers the entire life cycle of standalone software (SaMD), including validation."
ISO_18113-2,IVD medical devices — Information supplied by the manufacturer (labelling) — Part 2: Reagents for professional use,ISO 18113-2:2022,Global,IVD Production;Labeling;Reagents,Has precedence over ISO 20417 for professional IVD reagent labeling.
ISO_18113-3,IVD medical devices — Information supplied by the manufacturer (labelling) — Part 3: Instruments for professional use,ISO 18113-3:2022,Global,IVD Production;Labeling;Analyzers,Specific labeling and IFU requirements for complex laboratory instruments.
ISO_18113-4,IVD medical devices — Information supplied by the manufacturer (labelling) — Part 4: Reagents for self-testing,ISO 18113-4:2022,Global,IVD Production;Labeling;Home Tests,"Focuses on clarity for untrained users (e.g., pregnancy or glucose tests)."
ISO_18113-5,IVD medical devices — Information supplied by the manufacturer (labelling) — Part 5: Instruments for self-testing,ISO 18113-5:2022,Global,IVD Production;Labeling;Glucometers,Requirements for home-use diagnostic hardware and accompanying instructions.
ASTM_F2100,Standard Specification for Performance of Materials Used in Medical Face Masks,ASTM F2100-23,US,PPE;Masks;Laundering;Environment,"Classifies Level 1-3 barriers based on PFE, BFE, and fluid resistance."
ASTM_F2082,Standard Test Method for Determination of Transformation Temperature of Nitinol by Bend and Free Recovery,ASTM F2082-15,US,Nitinol;Material Forming;Metrology,"The industry-standard ""BFR"" method for verifying Austenite finish (Af)."
ASTM_F2063,Standard Specification for Wrought Nickel-Titanium Shape Memory Alloys for Medical Devices,ASTM F2063-24,US,Nitinol;Material Forming;Design,Establishes purity and chemistry (Ni 54.5–57%) for implant-grade Nitinol.
ISO_15708-3,Non-destructive testing — Radiation methods — Computed tomography — Part 3: Interpretation and reporting,ISO 15708-3:2017,Global,Metrology;CT Scanners;Inspection,Guidelines for axial CT scanning and volumetric flaw detection.
ISO_18369-1,"Ophthalmic optics — Contact lenses — Part 1: Vocabulary, classification system and recommendations for labeling",ISO 18369-1:2017,Global,Ophthalmics;Contact Lenses;Labeling,Core standard for the manufacture and physical testing of contact lenses.
ISO_10993-18,Biological evaluation of medical devices — Part 18: Chemical characterization of medical device materials,ISO 10993-18:2020,Global,Biocompatibility;All;Analytical Lab,Governs E&L (Extractables/Leachables) studies for implantable devices.
ISO_10993-12,Biological evaluation of medical devices — Part 12: Sample preparation and reference materials,ISO 10993-12:2021,Global,Biocompatibility;All;Laboratory,Specifies how to prepare device extracts for biological safety testing.
ISO_10993-17,Biological evaluation of medical devices — Part 17: Toxicological risk assessment of medical device constituents,ISO 10993-17:2023,Global,Biocompatibility;All;Risk Management,Defines the tolerable intake (TI) limits for chemicals identified in E&L studies.
CLSI_M100,Performance Standards for Antimicrobial Susceptibility Testing,CLSI M100-Ed34,US;Global,IVD Production;Microbiology;Testing,Standard for ensuring accurate reporting of bacterial resistance/sensitivity.
ISO_IEEE_11073,Health informatics — Personal health device communication — Part 10101: Nomenclature,ISO/IEEE 11073-10101,Global,Software;Patient Monitoring;Active Implants,Vital sign communication standards for interoperable medical devices. [Image 1]
ISO_80369-1,Small-bore connectors for liquids and gases in healthcare applications — Part 1: General requirements,ISO 80369-1:2018,Global,Connectors;Luer locks;Infusion;Respiratory,Establishes a framework for non-interchangeable connectors to prevent misconnections. [Image 1]
ISO_11117,"Gas cylinders — Valve protection caps and valve guards — Design, construction and tests",ISO 11117:2019,Global,Gas Cylinders;Utilities;Manifolds,Safety requirements for the transport and handling of medical gas cylinders. [Image 1]
ISO_16571,Systems for evacuation of plume generated by medical devices,ISO 16571:2014,Global,Electrosurgical Units;Laser Systems;Surgery,Requirements for smoke evacuation systems during surgical procedures. [Image 1]
ISO_12052,Health informatics — Digital imaging and communication in medicine (DICOM) including workflow and data management,ISO 12052:2017,Global,Imaging Systems;Radiology;Software,The international standard for exchanging medical images and related information. [Image 1]
ISO_22442-2,"Medical devices utilizing animal tissues and their derivatives — Part 2: Controls on sourcing, collection and handling",ISO 22442-2:2020,Global,HCT/Ps;Biological Implants;Material Sourcing,Controls for sourcing and handling of animal-derived tissues used in implants.
ISO_22442-3,Medical devices utilizing animal tissues and their derivatives — Part 3: Validation of the elimination and/or inactivation of viruses and transmissible spongiform encephalopathy (TSE) agents,ISO 22442-3:2007,Global,HCT/Ps;Biological Implants;Sterilization,Mandatory validation for products using animal tissue to ensure safety from pathogens.
ISO_11979-2,Ophthalmic implants — Intraocular lenses — Part 2: Optical properties and test methods,ISO 11979-2:2024,Global,IOLs;Ophthalmics;Metrology,Specific test methods for optical performance including MTF and dioptric power.
ISO_11979-3,Ophthalmic implants — Intraocular lenses — Part 3: Mechanical properties and test methods,ISO 11979-3:2012,Global,IOLs;Ophthalmics;Mechanical Testing,"Mechanical tests for compression force, vault height, and loop durability."
ISO_11979-5,Ophthalmic implants — Intraocular lenses — Part 5: Biocompatibility,ISO 11979-5:2020,Global,IOLs;Ophthalmics;Laboratory,Particular requirements for physicochemical and biological evaluation of IOL materials.
ISO_11979-6,Ophthalmic implants — Intraocular lenses — Part 6: Shelf-life and transport stability testing,ISO 11979-6:2014,Global,IOLs;Ophthalmics;Packaging;Storage,Validation of sterile intraocular lenses in their final packaging over time.
ISO_11979-7,Ophthalmic implants — Intraocular lenses — Part 7: Clinical investigations of intraocular lenses for the correction of aphakia,ISO 11979-7:2024,Global,IOLs;Ophthalmics;Clinical,Guidance for clinical investigations supporting IOL safety and performance.
ISO_11979-8,Ophthalmic implants — Intraocular lenses — Part 8: Fundamental requirements,ISO 11979-8:2017,Global,IOLs;Ophthalmics;Design,Core safety and performance requirements for all IOL designs.
ISO_7198,Cardiovascular implants and extracorporeal systems — Vascular prostheses — Tubular vascular grafts and vascular patches,ISO 7198:2016,Global,Vascular Grafts;Stent-Grafts;Cardiovascular,"Requirements for materials, construction, and mechanical testing of vascular implants."
ISO_10993-3,"Biological evaluation of medical devices — Part 3: Tests for genotoxicity, carcinogenicity and reproductive toxicity",ISO 10993-3:2014,Global,Biocompatibility;All;Laboratory,Long-term safety testing requirements for chronic patient-contact materials.
ISO_10993-6,Biological evaluation of medical devices — Part 6: Tests for local effects after implantation,ISO 10993-6:2016,Global,Biocompatibility;Implants;Laboratory,Evaluation of tissue response at the site of implant placement.
ISO_10993-9,Biological evaluation of medical devices — Part 9: Framework for identification and quantification of potential degradation products,ISO 10993-9:2019,Global,Biocompatibility;All;Laboratory,Methodology for identifying what products are released as a device degrades.
ISO_10993-11,Biological evaluation of medical devices — Part 11: Tests for systemic toxicity,ISO 10993-11:2017,Global,Biocompatibility;All;Laboratory,Evaluation of potential generalized effects on organs away from the site of contact.
ISO_10993-13,Biological evaluation of medical devices — Part 13: Identification and quantification of degradation products from polymeric medical devices,ISO 10993-13:2010,Global,Biocompatibility;Materials;Analytical Lab,Specific procedures for thermal and chemical degradation of plastics.
ISO_10993-14,Biological evaluation of medical devices — Part 14: Identification and quantification of degradation products from ceramics,ISO 10993-14:2001,Global,Biocompatibility;Materials;Analytical Lab,Specific procedures for degradation of ceramic and glass-based materials.
ISO_10993-15,Biological evaluation of medical devices — Part 15: Identification and quantification of degradation products from metals and alloys,ISO 10993-15:2019,Global,Biocompatibility;Materials;Analytical Lab,Evaluation of metal ion release and corrosion products from metallic implants.
IEC_60601-2-33,Medical electrical equipment — Part 2-33: Particular requirements for magnetic resonance safety,IEC 60601-2-33:2022,Global,MRI Scanners;Radiology,Critical for validating RF heating and magnetic safety limits.
IEC_60601-2-37,Medical electrical equipment — Part 2-37: Particular requirements for ultrasound safety,IEC 60601-2-37:2024,Global,Ultrasound;Diagnostic;Lab,Safety/performance for diagnostic/monitoring equipment.
IEC_60601-2-43,Medical electrical equipment — Part 2-43: Particular requirements for interventional X-ray,IEC 60601-2-43:2022,Global,Cardiac Cath Labs;Imaging,Crucial for OQ of motorized arms and imaging detector field sizes.
IEC_60601-2-45,Medical electrical equipment — Part 2-45: Particular requirements for mammographic X-ray,IEC 60601-2-45:2022,Global,Mammography;X-Ray Systems,Specific safety for full-field digital mammography.
IEC_60601-2-54,Medical electrical equipment — Part 2-54: Particular requirements for radiography/radioscopy,IEC 60601-2-54:2022,Global,X-Ray Systems;Radiology,"Safety for stationary, mobile, and tomographic X-ray."
ISO_14698-1,Cleanrooms — Biocontamination control — Part 1: General principles,ISO 14698-1:2003,Global,Facilities;Cleanrooms;Micro,Methodology for evaluating biocontamination in controlled environments. 
ISO_14698-2,Cleanrooms — Biocontamination control — Part 2: Evaluation of data,ISO 14698-2:2003,Global,Facilities;Cleanrooms;Micro,Guidance for interpreting results from biocontamination sampling. 
ISO_11138-1,Sterilization — Biological indicators — Part 1: General requirements,ISO 11138-1:2017,Global,Sterilization;Challenge;BI,Production and labeling for all biological indicators. 
ISO_11138-2,Sterilization — Biological indicators — Part 2: Indicators for EtO,ISO 11138-2:2017,Global,Sterilization;EtO Chambers,Specific indicators for ethylene oxide gas processes. 
ISO_11138-3,Sterilization — Biological indicators — Part 3: Indicators for moist heat,ISO 11138-3:2017,Global,Sterilization;Autoclaves,Specific indicators for steam/moist heat processes. 
ISO_11138-7,Sterilization — Biological indicators — Part 7: Guidance for use,ISO 11138-7:2019,Global,Sterilization;Validation;BI,Selection and interpretation of results in cycle development. 
ISO_18472,Sterilization — Biological and chemical indicators — Test equipment,ISO 18472:2018,Global,Sterilization;Metrology,"Requirements for ""resistometers"" used to test indicators. "
IEC_60601-1-8,Medical electrical equipment — Part 1-8: Alarm systems,IEC 60601-1-8:2020,Global,All Active Devices;Alarms,Requirements for audible and visual medical alarm patterns.
IEC_60601-1-11,Medical electrical equipment — Part 1-11: Home healthcare,IEC 60601-1-11:2020,Global,Home Devices;Glucometers,Requirements for devices used by laypersons in home settings.
IEC_60601-1-12,Medical electrical equipment — Part 1-12: EMS environment,IEC 60601-1-12:2020,Global,EMS;Defibrillators;Transport,Requirements for devices used in ambulances and field triage.
ASTM_E3270,Standard Guide for Operational Qualification of Gamma Irradiators,ASTM E3270-21,US,Sterilization;Gamma;E-Beam,FDA-recognized pathway for OQ of radiation systems. 
AAMI_TIR17,Compatibility of materials subjected to sterilization,AAMI TIR17:2024,US,All;Sterilization;Design,Assessment of how sterilization (EtO/Gamma) impacts materials. 
AAMI_ST72,Bacterial endotoxins — Test methods and routine monitoring,AAMI ST72:2019,US,Sterilization;LAL;Laboratory,Standards for pyrogenicity testing and batch-testing alternatives.
AAMI_ST91,Flexible and semi-rigid endoscope processing in health care,AAMI ST91:2021,US,Cleaning;Endoscopes;Reprocessing,Comprehensive guide for HLD and sterilization of endoscopes.
AAMI_ST108,Water for the processing of medical devices,AAMI ST108:2023,US,Utilities;Cleaning;Reprocessing,Defines water quality (PW/WFI) for device cleaning/rinsing.
ISO_11979-1,Ophthalmic implants — Intraocular lenses — Part 1: Vocabulary,ISO 11979-1:2018,Global,IOLs;Ophthalmics,Foundational terminology for intraocular lens evaluation.
ISO_11979-4,Ophthalmic implants — Intraocular lenses — Part 4: Labelling and information,ISO 11979-4:2008,Global,IOLs;Ophthalmics;Labeling,Specific requirements for IOL primary and secondary packaging data.
ISO_11979-9,Ophthalmic implants — Intraocular lenses — Part 9: Multifocal intraocular lenses,ISO 11979-9:2006,Global,MIOLs;Ophthalmics;Metrology,Particular requirements for lenses with multi-distance optical powers.
ISO_11979-10,Ophthalmic implants — Intraocular lenses — Part 10: Phakic IOLs,ISO 11979-10:2018,Global,PIOLs;Ophthalmics;Clinical,Requirements for clinical investigation of corrections in phakic eyes.
ISO_25539-1,Cardiovascular implants — Endovascular devices — Part 1: Endovascular prostheses,ISO 25539-1:2017,Global,Stent-grafts;Aortic Grafts,Core requirements for aortic and peripheral graft systems.
ISO_25539-2,Cardiovascular implants — Endovascular devices — Part 2: Vascular stents,ISO 25539-2:2020,Global,Stents;Nitinol;Cardiovascular,Specific benchmarks for bare metal and drug-eluting vascular stents.
