obligation_id|standard_id|standard_code|qualification_phase|domain|title|description|cohort|equipment_types|clause|verification_expectation|acceptance_criteria|rationale|status|introduced_in_version|deprecated_in_version|superseded_by|required_capabilities
OBL_ISO17665_STEAM_0011|STD_ISO17665|ISO 17665|PQ|CONFIGURATION_CHANGE_CONTROL|Validated load configurations defined and controlled|Validated load configurations including orientation spacing and packaging arrangement are defined and controlled.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.1|Verify that validated load configurations and build instructions are documented.|Validated load configuration set and load build instructions are documented.|Prevents unvalidated load configurations.|active|v1.0|||
OBL_ISO17665_STEAM_0012|STD_ISO17665|ISO 17665|PQ|FUNCTIONAL_PERFORMANCE|PQ performance runs under routine conditions|PQ demonstrates consistent performance using routine operators materials and defined load configurations.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.2|Execute PQ runs per routine conditions.|PQ run plan and summaries are documented.|Proves performance under real production conditions.|active|v1.0|||
OBL_ISO17665_STEAM_0013|STD_ISO17665|ISO 17665|PQ|MONITORING_TRENDING|Worst-case monitoring locations identified|Worst-case monitoring locations are identified and monitoring devices are placed accordingly.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.3|Verify that worst-case monitoring placement is documented.|Monitoring placement plan and coverage summary are documented.|Makes worst-case monitoring explicit.|active|v1.0|||
OBL_ISO17665_STEAM_0014|STD_ISO17665|ISO 17665|OQ|REVIEW_REPORTING|Acceptance criteria defined for qualification and routine|Measurable acceptance criteria for cycle parameters monitoring results and deviations are defined.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|6.6|Verify that acceptance criteria and deviation rules are documented.|Acceptance criteria table and deviation decision tree are documented.|Backbone of release and deviation decisions.|active|v1.0|||
OBL_ISO17665_STEAM_0015|STD_ISO17665|ISO 17665|PQ|MONITORING_TRENDING|Routine monitoring strategy defined|Routine monitoring methods frequencies and review requirements are defined.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.4|Verify that routine monitoring plan is documented.|Routine monitoring plan and review checklist are documented.|Connects validation to daily control.|active|v1.0|||
OBL_ISO17665_STEAM_0016|STD_ISO17665|ISO 17665|PQ|DATA_INTEGRITY_RECORDS|Parametric release controls defined|Where parametric release is used conditions and evidence required are defined.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.5|Verify that parametric release criteria and review steps are documented where applicable.|Parametric release record template and exception workflow are documented.|Supports parametric release where used.|active|v1.0|||HAS_DATA_LOGGER
OBL_ISO17665_STEAM_0017|STD_ISO17665|ISO 17665|PQ|REVIEW_REPORTING|Deviation handling defined|Deviations alarms and excursions trigger documented evaluation and disposition.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.6|Verify that deviation handling and impact assessment procedures are documented.|Deviation log template and impact assessment form are documented.|Major lifecycle and audit focus.|active|v1.0|||
OBL_ISO17665_STEAM_0018|STD_ISO17665|ISO 17665|IQ|CALIBRATION_MAINTENANCE|Maintenance and requalification linkage defined|Maintenance and calibration requirements and requalification triggers are defined.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|5.6|Verify that maintenance program and requalification triggers are documented.|Maintenance program and requalification trigger matrix are documented.|Prevents gaps after servicing.|active|v1.0|||
OBL_ISO17665_STEAM_0019|STD_ISO17665|ISO 17665|PQ|CONFIGURATION_CHANGE_CONTROL|Change control and revalidation triggers defined|Change categories and criteria for requalification or revalidation are defined.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.7|Verify that change control and revalidation decision criteria are documented.|Change control matrix and revalidation decision tree are documented.|Major lifecycle control.|active|v1.0|||
OBL_ISO17665_STEAM_0020|STD_ISO17665|ISO 17665|PQ|CALIBRATION_MAINTENANCE|Periodic requalification program defined|Periodic requalification frequency scope and acceptance criteria are defined.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity)|7.8|Verify that requalification plan and frequency are documented.|Requalification plan and report template are documented.|Supports long-term control.|active|v1.0|||
